"","ID","Posixct","Depth","ODBA","VeDBA","Acou_qua","GPS_time","Lat","DistanceShore","Long","LOS","Seismik","Type","TrialNo","Exposure","Year","Click","Call","Buzz","Dist_Ship","Area","GunSize","temperatureCorrected","Dist_to_CPA","Time_to_CPA","Direction_cat","NoOfStrokes_20sec","Divecat","Target_depth","Dive_phase","GPS_time_chr","pos_org","time","ExpShip","ExpShipI","ExpShipT","x","y","horizontal_speed","px100","py100","nx100","ny100","DistanceShore100","px200","py200","nx200","ny200","DistanceShore200","px300","py300","nx300","ny300","DistanceShore300","Ishore100","Ishore200","Ishore300","AngleVelocities","theta100","theta200","theta300","VelocityPhase"
"86489","Asgeir",2018-08-24 22:47:28,-2.57787,1.038099,0.6920691,1,"2018-08-24 22:46:34",70.4729,2.571412,-28.6848,0,0,NA,NA,NA,2018,0,0,0,NA,"IF","B",-0.3486922,NA,NA,NA,5,"S",-4.70243,"surface","2018-08-24 22:46:34",1,24.0247222222222,0,0,0,437.155508892477,7819.48203137693,5.25163156202419,437.735855495233,7816.87389482986,-0.58034660275672,2.60813654706726,2.67192410586065,437.757575670649,7816.7762821566,-0.6020667781724,2.7057492203221,2.77192410586084,437.779295846064,7816.67866948335,-0.623786953587057,2.80336189357695,2.87192410586091,0.37426212735855,0.360760237946502,0.348198616376819,-0.0172478620473275,-2.70552218181283,-2.70552218181295,-2.70552218181271,-0.915778986267404
"86873","Asgeir",2018-08-24 22:53:52,-2.38185,0.1562477,0.09329467,1,"2018-08-24 22:52:58",70.4703,2.260173,-28.6787,0,0,NA,NA,NA,2018,0,0,0,NA,"IF","B",-0.5943765,NA,NA,NA,9,"S",-4.37995,"surface","2018-08-24 22:52:58",1,24.1313888888889,0,0,0,437.374987053984,7819.1858725246,3.45581281524667,437.88218887774,7816.9064560397,-0.507201823756191,2.2794164848965,2.33516449134556,437.903909053156,7816.80884336645,-0.528921999171814,2.37702915815134,2.43516449134572,437.925629228571,7816.71123069319,-0.550642174586528,2.47464183140619,2.53516449134583,0.428235357169115,0.410649877473936,0.394451722329518,0.141253011291708,-2.72277004386021,-2.72277004386032,-2.72277004386008,-0.933026848314731
"87512","Asgeir",2018-08-24 23:04:31,-21.18676,0.1282492,0.08275602,1,"2018-08-24 23:03:37",70.4652,1.586009,-28.6628,0,0,NA,NA,NA,2018,0,0,0,NA,"IF","B",-0.8063107,NA,NA,NA,10,"M",-23.33028,"Bottom","2018-08-24 23:03:37",1,24.3088888888889,0,0,0,437.952461304737,7818.60098734909,4.63058556512597,438.355659883897,7817.0239592141,-0.403198579160858,1.57702813498872,1.627755151361,438.380430106791,7816.9270755929,-0.42796880205475,1.67391175619377,1.72775515136116,438.405200329686,7816.8301919717,-0.452739024949778,1.77079537739792,1.82775515136106,0.614343010472968,0.578785714637969,0.547119234901534,0.0840621085387849,-2.61287801559805,-2.61287801559797,-2.61287801559863,-0.791773837023024
"87836","Asgeir",2018-08-24 23:09:55,-12.18898,0.08127973,0.05632042,1,"2018-08-24 23:09:01",70.4639,1.403298,-28.658,0,0,NA,NA,NA,2018,0,0,0,NA,"IF","B",-0.3217141,NA,NA,NA,4,"M",-24.98062,"Descent","2018-08-24 23:09:01",1,24.3988888888889,0,0,0,438.127581197948,7818.45116218548,2.56073283905336,438.484079576264,7817.05679226023,-0.356498378316701,1.39436992524406,1.43922151949188,438.508849799158,7816.95990863903,-0.381268601210593,1.49125354644912,1.53922151949205,438.533620022053,7816.86302501782,-0.406038824105508,1.58813716765417,1.63922151949187,0.694820072140843,0.649679066551777,0.610045676016982,-0.530229872361212,-2.52881590705938,-2.52881590705928,-2.5288159070598,-0.707711728484239
"88146","Asgeir",2018-08-24 23:15:05,-2.27436,0.3861323,0.2595094,1,"2018-08-24 23:14:11",70.4607,1.024376,-28.6544,0,0,NA,NA,NA,2018,0,0,0,NA,"IF","B",-0.3299029,NA,NA,NA,6,"S",-6.8017,"surface","2018-08-24 23:14:11",1,24.485,0,0,0,438.252184308298,7818.09074347276,4.42857700743432,438.514543165055,7817.06458088203,-0.262358856756407,1.0261625907242,1.05917035094513,438.539313387948,7816.96769726083,-0.287129079650299,1.12304621193016,1.1591703509453,438.564083610843,7816.87081363962,-0.311899302544987,1.2199298331343,1.25917035094511,0.944135189497769,0.862685971207338,0.794173718631019,0.870658488738276,-3.05904577942066,-3.05904577942033,-3.05904577942102,-1.23794160084545
"90393","Asgeir",2018-08-24 23:52:32,-3.33031,0.04825613,0.03470017,1,"2018-08-24 23:51:38",70.4542,0.1361829,-28.5996,0,0,NA,NA,NA,2018,0,0,0,NA,"IF","B",-0.8306714,NA,NA,NA,6,"S",-18.77133,"surface","2018-08-24 23:51:38",1,25.1091666666667,0,0,0,440.278015116821,7817.31132363875,3.47758992483063,440.21690924844,7817.09541670341,0.0611058683804799,0.215906935338353,0.224387459269994,440.189676947411,7816.99919611423,0.0883381694098375,0.312127524511197,0.324387459270847,440.162444646382,7816.90297552506,0.115570470439138,0.408348113683132,0.424387459270427,4.45657704424894,3.08273322972406,2.35633730016226,0.274809503809189,-1.66227297443288,-1.66227297443327,-1.66227297443302,-0.367283112107175
"90852","Asgeir",2018-08-25 00:00:11,-2.26171,0.1115214,0.09963949,1,"2018-08-24 23:59:17",70.4539,0.2208594,-28.5861,0,0,NA,NA,NA,2018,0,0,0,NA,"IF","B",-0.3289697,NA,NA,NA,6,"S",-18.77133,"surface","2018-08-24 23:59:17",1,25.2366666666667,0,0,0,440.781072241125,7817.26467107432,3.96247630006979,440.694884154992,7816.96014049432,0.0861880861329496,0.304530580005121,0.316492117357836,440.667651853963,7816.86391990514,0.11342038716225,0.400751169177965,0.416492117358452,440.640419552933,7816.76769931597,0.140652688191608,0.4969717583499,0.516492117358166,3.15963635476384,2.40100582537401,1.93613797073023,0.127741256781249,-1.38746347062343,-1.38746347062392,-1.38746347062364,-0.0924736082979865
"91964","Asgeir",2018-08-25 00:18:43,-3.34296,0.1667943,0.1214094,1,"2018-08-25 00:17:49",70.4547,0.2844157,-28.547,0,0,NA,NA,NA,2018,0,0,0,NA,"IF","B",-0.4607576,NA,NA,NA,5,"S",-14.10488,"surface","2018-08-25 00:17:49",1,25.5455555555556,0,0,0,442.24290837305,7817.31624798284,4.73550774069207,442.325766188344,7816.95627723932,-0.0828578152933233,0.359970743518716,0.369383748619661,442.348197552908,7816.85882553907,-0.10528917985738,0.457422443778341,0.469383748618636,442.370628917472,7816.7613738388,-0.127720544421436,0.554874144039786,0.569383748619142,2.70721168361323,2.13045296719993,1.7562847594881,-0.0875231764085442,-1.76176735524567,-1.76176735524642,-1.76176735524619,0.0352676484832623
"92282","Asgeir",2018-08-25 00:24:01,-3.45678,0.3134435,0.2485869,1,"2018-08-25 00:23:07",70.4546,0.2116447,-28.5359,0,0,NA,NA,NA,2018,0,0,0,NA,"IF","B",0.6023172,NA,NA,NA,5,"S",-14.10488,"surface","2018-08-25 00:23:07",1,25.6338888888889,0,0,0,442.656966726981,7817.29459142929,4.69386022690363,442.640750233085,7817.02755054585,0.0162164938960814,0.267040883437403,0.267532816867516,442.644879464332,7816.92711557502,0.0120872626485493,0.367475854272016,0.367674591712948,442.653235153613,7816.82642394561,0.0037315733682135,0.468167483677462,0.468182354871143,3.73785919689698,2.71979631592472,2.13591988163507,0.246592153326604,-1.56239970403221,-1.5901710377804,-1.61508142858304,-0.0522555279252819
"93208","Asgeir",2018-08-25 00:39:27,-2.67271,0.09925296,0.05766758,1,"2018-08-25 00:38:33",70.4571,0.3539101,-28.5024,0,0,NA,NA,NA,2018,0,0,0,NA,"IF","B",-0.4139136,NA,NA,NA,6,"S",-4.18393,"surface","2018-08-25 00:38:33",1,25.8911111111111,0,0,0,443.914358118406,7817.54207201189,4.98213031570223,444.081870169355,7817.11354779553,-0.167512050949085,0.428524216356891,0.460101392322884,444.074628658553,7817.00152911576,-0.160270540146428,0.540542896134866,0.563802508508694,444.067387147752,7816.88951043598,-0.153029029345532,0.652561575913751,0.670264495689182,2.17343397930479,1.77367071786375,1.4919483374571,0.255953985287608,-1.749100635861,-1.66470167284712,-1.60680262766967,0.194336625401322
